,Weight
IL-6,0.34811255648007194
MCH,0.1722387704518916
SYS_BP,0.12802947265862763
HR,0.08802443454822488
MCHC,0.07744495647721382
DIAS_BP,0.06634232640424613
WBC,0.03992367716105618
Age,0.022585198628756145
NEUT%,0.020750988142292596
TEM,0.019047619047618862
LYMPH#,0.017500000000000224
BASO%,0.0
LYMPH%,0.0
MONO%,0.0
MONO#,0.0
EO%,0.0
EO#,0.0
BASO#,0.0
HCT,0.0
MCV,0.0
Chills,0.0
RDW-CV,0.0
PLT,0.0
MPV,0.0
CRP,0.0
NEUT#,0.0
Expectoration,0.0
Shortness of breath,0.0
Sore throat,0.0
Rhinorrhoea,0.0
Diarrhoea,0.0
Muscle ache,0.0
Headache,0.0
Nausea,0.0
Vomiting,0.0
Abdominal pain,0.0
Fatigue,0.0
RBC,0.0
Palpitation,0.0
Fever,0.0
Fever_class,0.0
Cough,0.0
Shiver,0.0
Gender,0.0
HGB,0.0
DOA,0.0
