,mean_,scale_
DOA,3.349056603773585,3.3024932057696206
Gender,0.5660377358490566,0.4956198315684417
Age,37.679245283018865,13.211306742540522
Chills,0.2641509433962264,0.4408800545489782
Shiver,0.14150943396226415,0.3485462868285127
Cough,0.4811320754716981,0.49964387459869264
Expectoration,0.2641509433962264,0.44088005454897816
Shortness of breath,0.1320754716981132,0.3385728008476674
Rhinorrhoea,0.20754716981132076,0.405550665286881
Diarrhoea,0.07547169811320754,0.26415094339622647
Muscle ache,0.330188679245283,0.4702808898345101
Headache,0.22641509433962265,0.41851081156261927
Nausea,0.03773584905660377,0.1905566969502278
Vomiting,0.02830188679245283,0.1658339229362919
Abdominal pain,0.03773584905660377,0.1905566969502279
Sore throat,0.41509433962264153,0.49273829649813555
Fatigue,0.33962264150943394,0.4735811470947602
Palpitation,0.02830188679245283,0.1658339229362919
Fever,0.7169811320754716,0.4504655240118241
Fever_class,1.028301886792453,0.8293842586443305
TEM,37.51792452830189,0.8397885144612321
HR,103.81132075471699,16.547309652815862
SYS_BP,136.83018867924528,16.745301621036706
DIAS_BP,82.72641509433963,11.333314573588925
HGB,145.95283018867926,15.871763271562573
RBC,4.805283018867923,0.4840536527785374
WBC,7.948584905660378,6.139033240631905
NEUT%,0.6681792452830189,0.12768163511876018
NEUT#,5.447672735849058,3.990726044280554
LYMPH%,0.2500754716981133,0.11958384586061463
LYMPH#,1.8920141509433959,2.4539285297395197
MONO%,0.07103773584905661,0.056809500356213974
MONO#,0.5356585849056602,0.555068630506648
EO%,0.013537735849056591,0.02467569827663766
EO#,0.09113207547169805,0.16566231141691315
BASO%,0.004698113207547173,0.0032013258200395624
BASO#,0.034571132075471696,0.025919050665440084
HCT,0.42434905660377376,0.039968865820273904
MCV,88.44999999999997,3.923135297952102
MCH,30.392452830188674,1.6698603553188436
MCHC,343.4622641509434,10.37701972002785
RDW-CV,12.140566037735855,0.7519507086774548
PLT,225.23584905660377,55.2578094688703
MPV,10.124528301886793,0.8274547608627766
CRP,1.1055471698113208,2.1964732586755744
IL-6,10.593207547169808,24.88048001824033
